?,?,?,?,?,?,?,12.6,NW,?,0:00,01.10.1844
?,?,?,?,?,?,?,11.3,NW,?,1:00,01.10.1844
?,?,?,?,?,?,?,18,NE,?,2:00,01.10.1844
?,?,?,?,?,?,?,9.2,NE,?,3:00,01.10.1844
?,?,?,?,?,?,?,6.3,NE,?,4:00,01.10.1844
?,?,?,?,?,?,?,4,NE,?,5:00,01.10.1844
?,?,?,?,?,?,?,6.1,E,?,6:00,01.10.1844
?,?,?,?,?,?,?,3.3,NE,?,7:00,01.10.1844
?,?,?,?,?,?,?,7.8,NE,?,8:00,01.10.1844
?,?,?,?,?,?,?,8.1,NW,?,9:00,01.10.1844
?,?,?,?,?,?,?,8.3,NW,?,10:00,01.10.1844
?,?,?,?,?,?,?,8,NW,?,11:00,01.10.1844
?,?,?,?,?,?,?,8.6,NW,?,12:00,01.10.1844
?,?,?,?,?,?,?,8.2,NW,?,13:00,01.10.1844
?,?,?,?,?,?,?,6.2,SW,?,14:00,01.10.1844
?,?,?,?,?,?,?,2.9,SW,?,15:00,01.10.1844
?,?,?,?,?,?,?,8.3,S,?,16:00,01.10.1844
?,?,?,?,?,?,?,13.9,SW,?,17:00,01.10.1844
?,?,?,?,?,?,?,6,SW,?,18:00,01.10.1844
?,?,?,?,?,?,?,7.8,NW,?,19:00,01.10.1844
?,?,?,?,?,?,?,12.2,NW,?,20:00,01.10.1844
?,?,?,?,?,?,?,16,S,?,21:00,01.10.1844
?,?,?,?,?,?,?,13,SW,?,22:00,01.10.1844
?,?,?,?,?,?,?,11,S,?,23:00,01.10.1844
?,?,?,?,?,?,?,11.5,SW,?,0:00,25.03.1846
?,?,?,?,?,?,?,10.4,W,?,1:00,25.03.1846
?,?,?,?,?,?,?,10.4,W,?,2:00,25.03.1846
?,?,?,?,?,?,?,11.5,SW,?,3:00,25.03.1846
?,?,?,?,?,?,?,10.4,SW,?,4:00,25.03.1846
?,?,?,?,?,?,?,10.4,SW,?,5:00,25.03.1846
?,?,?,?,?,?,?,5.8,SW,?,6:00,25.03.1846
?,?,?,?,?,?,?,8.1,SW,?,7:00,25.03.1846
?,?,?,?,?,?,?,8.1,WSW,?,8:00,25.03.1846
?,?,?,?,?,?,?,11.5,W,?,9:00,25.03.1846
?,?,?,?,?,?,?,15.0,NW,?,10:00,25.03.1846
?,?,?,?,?,?,?,15.0,WNW,?,11:00,25.03.1846
?,?,?,?,?,?,?,19.6,W,?,12:00,25.03.1846
?,?,?,?,?,?,?,18.4,WNW,?,13:00,25.03.1846
?,?,?,?,?,?,?,15.0,NNW,?,14:00,25.03.1846
?,?,?,?,?,?,?,15.0,NW,?,15:00,25.03.1846
?,?,?,?,?,?,?,11.5,W,?,16:00,25.03.1846
?,?,?,?,?,?,?,11.5,NW,?,17:00,25.03.1846
?,?,?,?,?,?,?,15.0,NW,?,18:00,25.03.1846
?,?,?,?,?,?,?,3.5,NW,?,19:00,25.03.1846
?,?,?,?,?,?,?,0.0,N,?,20:00,25.03.1846
?,?,?,?,?,?,?,2.3,NW,?,21:00,25.03.1846
?,?,?,?,?,?,?,2.3,NW,?,22:00,25.03.1846
?,?,?,?,?,?,?,2.7,NW,?,23:00,25.03.1846
?,?,?,?,?,?,?,5.8,S,?,0:00,08.04.1847
?,?,?,?,?,?,?,4.6,S,?,1:00,08.04.1847
?,?,?,?,?,?,?,3.5,S,?,2:00,08.04.1847
?,?,?,?,?,?,?,4.6,NW,?,3:00,08.04.1847
?,?,?,?,?,?,?,4.6,WSW,?,4:00,08.04.1847
?,?,?,?,?,?,?,4.6,S,?,5:00,08.04.1847
?,?,?,?,?,?,?,4.6,SW,?,6:00,08.04.1847
?,?,?,?,?,?,?,0.0,W,?,7:00,08.04.1847
?,?,?,?,?,?,?,0.0,NE,?,8:00,08.04.1847
?,?,?,?,?,?,?,0.0,N,?,9:00,08.04.1847
?,?,?,?,?,?,?,3.5,NNE,?,10:00,08.04.1847
?,?,?,?,?,?,?,8.1,NE,?,11:00,08.04.1847
?,?,?,?,?,?,?,8.1,NNW,?,12:00,08.04.1847
?,?,?,?,?,?,?,5.8,NNE,?,13:00,08.04.1847
?,?,?,?,?,?,?,0.0,NNE,?,14:00,08.04.1847
?,?,?,?,?,?,?,8.1,N,?,15:00,08.04.1847
?,?,?,?,?,?,?,9.2,N,?,16:00,08.04.1847
?,?,?,?,?,?,?,6.9,N,?,17:00,08.04.1847
?,?,?,?,?,?,?,10.4,N,?,18:00,08.04.1847
?,?,?,?,?,?,?,11.5,NNW,?,19:00,08.04.1847
?,?,?,?,?,?,?,8.1,NNW,?,20:00,08.04.1847
?,?,?,?,?,?,?,5.8,WNW,?,21:00,08.04.1847
?,?,?,?,?,?,?,0.0,W,?,22:00,08.04.1847
?,?,?,?,?,?,?,0.0,NW,?,23:00,08.04.1847
?,?,?,?,?,?,?,3.5,S,?,0:00,28.03.1851
?,?,?,?,?,?,?,8.1,W,?,1:00,28.03.1851
?,?,?,?,?,?,?,3.5,NW,?,2:00,28.03.1851
?,?,?,?,?,?,?,5.8,NNW,?,3:00,28.03.1851
?,?,?,?,?,?,?,8.1,N,?,4:00,28.03.1851
?,?,?,?,?,?,?,3.5,N,?,5:00,28.03.1851
?,?,?,?,?,?,?,0.0,NE,?,6:00,28.03.1851
?,?,?,?,?,?,?,3.5,E,?,7:00,28.03.1851
?,?,?,?,?,?,?,3.5,NNE,?,8:00,28.03.1851
?,?,?,?,?,?,?,11.5,NNE,?,9:00,28.03.1851
?,?,?,?,?,?,?,8.1,NNE,?,10:00,28.03.1851
?,?,?,?,?,?,?,8.1,NE,?,11:00,28.03.1851
?,?,?,?,?,?,?,8.1,NNE,?,12:00,28.03.1851
?,?,?,?,?,?,?,5.8,NNE,?,13:00,28.03.1851
?,?,?,?,?,?,?,8.1,NNW,?,14:00,28.03.1851
?,?,?,?,?,?,?,10.4,NW,?,15:00,28.03.1851
?,?,?,?,?,?,?,10.4,N,?,16:00,28.03.1851
?,?,?,?,?,?,?,10.4,NW,?,17:00,28.03.1851
?,?,?,?,?,?,?,10.4,NW,?,18:00,28.03.1851
?,?,?,?,?,?,?,10.4,NW,?,19:00,28.03.1851
?,?,?,?,?,?,?,3.5,NW,?,20:00,28.03.1851
?,?,?,?,?,?,?,0.0,NW,?,21:00,28.03.1851
?,?,?,?,?,?,?,8.1,NW,?,22:00,28.03.1851
?,?,?,?,?,?,?,5.8,NW,?,23:00,28.03.1851
?,?,?,?,?,?,?,5.8,SW,?,0:00,23.03.1853
?,?,?,?,?,?,?,5.8,SW,?,1:00,23.03.1853
?,?,?,?,?,?,?,4.6,SW,?,2:00,23.03.1853
?,?,?,?,?,?,?,2.3,SW,?,3:00,23.03.1853
?,?,?,?,?,?,?,5.8,SW,?,4:00,23.03.1853
?,?,?,?,?,?,?,5.8,SW,?,5:00,23.03.1853
?,?,?,?,?,?,?,5.8,SW,?,6:00,23.03.1853
?,?,?,?,?,?,?,6.9,WSW,?,7:00,23.03.1853
?,?,?,?,?,?,?,8.1,WSW,?,8:00,23.03.1853
?,?,?,?,?,?,?,5.8,WSW,?,9:00,23.03.1853
?,?,?,?,?,?,?,15.0,SW,?,10:00,23.03.1853
?,?,?,?,?,?,?,15.0,SW,?,11:00,23.03.1853
?,?,?,?,?,?,?,18.4,SW,?,12:00,23.03.1853
?,?,?,?,?,?,?,15.0,WSW,?,13:00,23.03.1853
?,?,?,?,?,?,?,11.2,SW,?,14:00,23.03.1853
?,?,?,?,?,?,?,15.0,SW,?,15:00,23.03.1853
?,?,?,?,?,?,?,17.3,SW,?,16:00,23.03.1853
?,?,?,?,?,?,?,11.5,SW,?,17:00,23.03.1853
?,?,?,?,?,?,?,6.9,SW,?,18:00,23.03.1853
?,?,?,?,?,?,?,9.2,SW,?,19:00,23.03.1853
?,?,?,?,?,?,?,10.4,W,?,20:00,23.03.1853
?,?,?,?,?,?,?,9.2,S,?,21:00,23.03.1853
?,?,?,?,?,?,?,12.7,S,?,22:00,23.03.1853
?,?,?,?,?,?,?,12.7,S,?,23:00,23.03.1853